Category: All categories,,,
,,,
Week,Milkshake: (United States),hamburger: (United States),Breakup: (United States)
4/6/2025,67,40,35
4/13/2025,65,39,35
4/20/2025,62,38,34
4/27/2025,65,41,37
5/4/2025,61,40,36
5/11/2025,60,40,35
5/18/2025,61,42,34
5/25/2025,64,64,36
6/1/2025,63,41,39
6/8/2025,68,42,40
6/15/2025,73,42,38
6/22/2025,77,41,41
6/29/2025,70,52,40
7/6/2025,76,47,45
7/13/2025,71,44,43
7/20/2025,72,44,43
7/27/2025,72,45,52
8/3/2025,74,47,41
8/10/2025,100,43,38
8/17/2025,86,44,34
8/24/2025,75,46,39
8/31/2025,75,47,52
9/7/2025,65,42,50
9/14/2025,62,44,57
9/21/2025,62,44,56
9/28/2025,59,45,56
10/5/2025,59,47,54
10/12/2025,62,57,55
10/19/2025,57,48,53
10/26/2025,56,42,49
11/2/2025,58,45,55
11/9/2025,60,46,54
11/16/2025,59,41,55
11/23/2025,51,33,55
11/30/2025,53,39,58
12/7/2025,53,40,62
12/14/2025,55,38,60
12/21/2025,51,33,76
12/28/2025,67,43,70
1/4/2026,79,43,63
1/11/2026,75,47,65
1/18/2026,67,49,59
1/25/2026,63,50,58
2/1/2026,69,44,57
2/8/2026,72,45,67
2/15/2026,83,45,62
2/22/2026,78,43,57
3/1/2026,82,43,51
3/8/2026,85,45,57
3/15/2026,86,44,53
3/22/2026,78,44,52
3/29/2026,71,45,53
4/5/2026,72,39,57
